POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
Audionet Robinsons Metro East,Robinsons Metro East,For Opening,15-Apr-24,M8BPO3Y,NCR East,Albee David,Rulls
Cellblitz PITX,PITX,For Opening,15-Apr-24,MYLTSSA,NCR South 2,Grace Belarmino,Rulls
Fun Mobile Ayala Circuit,Ayala Mall Circuit,For Opening,15-Apr-24,M6YQCP9,NCR South 1,Klein Justine Tamayo,Rulls
Fun Mobile Ayala Marikina,Ayala Malls Marikina,For Opening,15-Apr-24,MK4CZP2,NCR East,Albee David,Rulls
Fun Mobile Starmall Edsa Shaw,Starmall Edsa Shaw,For Opening,15-Apr-24,MKB9G3B,NCR South 1,Klein Justine Tamayo,Rulls
Fun Mobile Up Town Center,U.P Town Center,For Opening,15-Apr-24,MOG6O5H,NCR North,Sander Maghirang,Rulls
Hello Festivall Mall,Festival Supermall,For Opening,15-Apr-24,MW1QATC,NCR South 2,Grace Belarmino,Rulls
Huawei One Ayala,One Mall Ayala,For Opening,15-Apr-24,M64O5NP,NCR South 1,Klein Justine Tamayo,Rulls
Huawei Robinsons Gen Trias,Robinsons General Trias,For Opening,15-Apr-24,M3530WK,South Luzon 1 (B),Ricky Sarayno,Rulls
Huawei Robinsons Malolos,Robinsons Malolos,For Opening,15-Apr-24,MS6I2O8,North Luzon 1,Mari Louise Carasig,Rulls
Huawei Robinsons Manila,Robinsons Ermita,For Opening,15-Apr-24,M2LYGWI,NCR North,Sander Maghirang,Rulls
Huawei Vistamall Taguig,Vista Mall Taguig,For Opening,15-Apr-24,MK0YB8D,NCR South 1,Klein Justine Tamayo,Rulls
Jr Mx Portal Mall Gma Cavite,Savemore GMA,For Opening,15-Apr-24,M5RKOQ2,South Luzon 1 (A),Aubrey Lalong Isip,MemoXpress
Jr Mx Savemore Dinalupihan,Savemore Dinalupihan,For Opening,15-Apr-24,MGYQHB5,North Luzon 2,Rachelle Belmonte,MemoXpress
Jr Mx Savemore Market Cabuyao,Savemore Cabuyao,For Opening,15-Apr-24,MSXOTDZ,South Luzon 2,Kenneth Mendoza,MemoXpress
Jr Mx Waltermart Balayan Batangas,Waltermart Balayan,For Opening,15-Apr-24,MREQTLV,South Luzon 3,Jan jan Dela Cruz,MemoXpress
Jr Mx Waltermart Batangas,Waltermart Batangas,For Opening,15-Apr-24,MXQG6JD,South Luzon 3,Jan jan Dela Cruz,MemoXpress
Jr Mx Waltermart Cabanatuan,Waltermart Cabanatuan,For Opening,15-Apr-24,MP4Y3KV,North Luzon 2,Rachelle Belmonte,MemoXpress
Jr Mx Waltermart Concepcion Tarlac,Waltermart Tarlac,For Opening,15-Apr-24,M5KZTHF,North Luzon 2,Rachelle Belmonte,MemoXpress
Jr Mx Waltermart Gapan,Waltermart Gapan,For Opening,15-Apr-24,MB69X86,North Luzon 2,Rachelle Belmonte,MemoXpress
Jr Mx Waltermart Makati,Waltermart Makati,For Opening,15-Apr-24,M0XKB45,NCR South 1,Klein Justine Tamayo,MemoXpress
Jr Mx Waltermart Makiling,Waltermart Makiling,For Opening,15-Apr-24,MO4LQKN,South Luzon 2,Kenneth Mendoza,MemoXpress
Jr Mx Waltermart North Edsa Munoz,Waltermart Munoz,For Opening,15-Apr-24,MH0FGBC,NCR North,Sander Maghirang,MemoXpress
Jr Mx Waltermart Plaridel,Waltermart Plaridel,For Opening,15-Apr-24,MF4TPLB,North Luzon 1,Mari Louise Carasig,MemoXpress
Jr Mx Waltermart San Fernando,Waltermart San Fernando,For Opening,15-Apr-24,MOK0TQL,North Luzon 2,Rachelle Belmonte,MemoXpress
Jr Mx Waltermart San Jose Nueva Ecija,Waltermart San Jose Nueva Ecija,For Opening,15-Apr-24,MYJLZC9,North Luzon 2,Rachelle Belmonte,MemoXpress
Jr Mx Waltermart Sta Maria,Waltermart Sta Maria,For Opening,15-Apr-24,MX0BJOH,North Luzon 1,Mari Louise Carasig,MemoXpress
Jr Mx Waltermart Sta Rosa,Waltermart Sta Rosa,For Opening,15-Apr-24,MDA3QSJ,South Luzon 2,Kenneth Mendoza,MemoXpress
Jr Mx Waltermart Sucat,Waltermart Sucat,For Opening,15-Apr-24,M23QT9D,NCR South 2,Grace Belarmino,MemoXpress
Jr Mx Waltermart Talavera,Waltermart Talavera,For Opening,15-Apr-24,MDGF9QU,North Luzon 2,Rachelle Belmonte,MemoXpress
MBC Apalit,Savemore Apalit,For Opening,15-Apr-24,MYIEOPS,North Luzon 2,Rachelle Belmonte,Rulls
MBC Gaisano Inline Binangonan,Gaisano Inline Binangonan,For Opening,15-Apr-24,M38S4QA,NCR East,Albee David,Rulls
MBC Kiosk CLA Pagsanjan,CLA Town Center,For Opening,15-Apr-24,MF9TK5S,South Luzon 2,Kenneth Mendoza,Rulls
MBC Montalban Town Center,Montalban Town Center,For Opening,15-Apr-24,MI9KLNA,NCR East,Albee David,Rulls
MBC Pacificmall Lucena,Pacific Mall Lucena,For Opening,15-Apr-24,M6R9FL3,South Luzon 3,Jan jan Dela Cruz,Rulls
MBC Puregold Cabuyao,Puregold Cabuyao,For Opening,15-Apr-24,M5K1RFG,South Luzon 2,Kenneth Mendoza,Rulls
MBC Robinson Galleria South San Pedro,Robinsons Galleria South,For Opening,15-Apr-24,MAB8LI9,South Luzon 2,Kenneth Mendoza,Rulls
MBC Ultimart Inline San Pablo,Ultimart San Pablo,For Opening,15-Apr-24,MB3UFDT,South Luzon 2,Kenneth Mendoza,Rulls
MBC Ultimart Kiosk San Pablo,Ultimart San Pablo,For Opening,15-Apr-24,MO68C7Q,South Luzon 2,Kenneth Mendoza,Rulls
MBC Xentromall Lemery,Xentro Mall Lemery,For Opening,15-Apr-24,M6P9JKO,South Luzon 3,Jan jan Dela Cruz,Rulls
Memoxpress Ayala Marikina,Ayala Malls Marikina,For Opening,15-Apr-24,MOVZDHU,NCR East,Albee David,MemoXpress
Memoxpress Cash & Carry,Cash & Carry,For Opening,15-Apr-24,MUKYPLB,NCR South 1,Klein Justine Tamayo,MemoXpress
Memoxpress Festival Mall,Festival Supermall,For Opening,15-Apr-24,M80SH64,NCR South 2,Grace Belarmino,MemoXpress
Memoxpress Market Market Taguig,Market Market,For Opening,15-Apr-24,MN9OHTI,NCR South 1,Klein Justine Tamayo,MemoXpress
Memoxpress Robinsons General Trias,Robinsons General Trias,For Opening,15-Apr-24,MHJZ4PQ,South Luzon 1 (B),Ricky Sarayno,MemoXpress
Memoxpress Robinsons Place Antipolo,Robinsons Antipolo,For Opening,15-Apr-24,MS1L6R8,NCR East,Albee David,MemoXpress
Memoxpress Robinsons Place Las Pinas,Robinsons Las Pinas,For Opening,15-Apr-24,MCTEG0B,NCR South 2,Grace Belarmino,MemoXpress
Memoxpress Robinsons Place Malolos,Robinsons Malolos,For Opening,15-Apr-24,MWSUVGA,North Luzon 1,Mari Louise Carasig,MemoXpress
Memoxpress Robinsons Place Midtown,Robinsons Midtown,For Opening,15-Apr-24,MUJ3NYX,NCR North,Sander Maghirang,MemoXpress
Memoxpress Robinsons Place San Pedro Laguna,Robinsons San Pedro,For Opening,15-Apr-24,MNR5VTP,South Luzon 2,Kenneth Mendoza,MemoXpress
Memoxpress Sta Lucia East Grand Mall,Sta Lucia Mall,For Opening,15-Apr-24,MRTAIQG,NCR East,Albee David,MemoXpress
Memoxpress Starmall Mandaluyong,Starmall Edsa Shaw,For Opening,15-Apr-24,MQSBDRC,NCR South 1,Klein Justine Tamayo,MemoXpress
Memoxpress Trinoma,Trinoma,For Opening,15-Apr-24,MFAOPRK,NCR North,Sander Maghirang,MemoXpress
Memoxpress Unimart Capitol Common,Unimart Capitol Common,For Opening,15-Apr-24,MQGXHC4,NCR East,Albee David,MemoXpress
Memoxpress Unimart Greenhills,Unimart Greenhills,For Opening,15-Apr-24,MF20V1P,NCR South 1,Klein Justine Tamayo,MemoXpress
Memoxpress Vista Mall Taguig,Vista Mall Taguig,For Opening,15-Apr-24,MATS97I,NCR South 1,Klein Justine Tamayo,MemoXpress
Mobile Craze PG Tanay Rizal,Puregold Tanay Rizal,For Opening,15-Apr-24,MFCWRJQ,NCR East,Albee David,Rulls
Mobile Craze Puregold Paco,Puregold Paco,For Opening,15-Apr-24,MYOB3D4,NCR North,Sander Maghirang,Rulls
Mobile Craze Town Center Mall Tanay,Craze Town Center Mall Tanay,For Opening,15-Apr-24,M3ED6SF,NCR East,Albee David,Rulls
Mobilecraze K1 PG Marikina,Puregold Marikina,For Opening,15-Apr-24,M9KLTD1,NCR East,Albee David,Rulls
Mobilecraze K2 PG Marikina,Puregold Marikina,For Opening,15-Apr-24,MUFDX4A,NCR East,Albee David,Rulls
Mobilecraze K3 PG Marikina,Puregold Marikina,For Opening,15-Apr-24,MW6HOE7,NCR East,Albee David,Rulls
Mobilecraze Market Mall Paco,Market Mall Paco,For Opening,15-Apr-24,MY9Z0PA,NCR North,Sander Maghirang,Rulls
Mobilecraze Marquee Mall,Marque Mall,For Opening,15-Apr-24,MP1VR8S,North Luzon 2,Rachelle Belmonte,Rulls
Mx Glorietta 2,Glorietta,For Opening,15-Apr-24,MUQ93JT,NCR South 1,Klein Justine Tamayo,MemoXpress
Mx Robinsons Place Lipa,Robinsons Lipa,For Opening,15-Apr-24,M4HZOK3,South Luzon 3,Jan jan Dela Cruz,MemoXpress
Oppo District Imus,The District Imus,For Opening,15-Apr-24,MUQ42YI,South Luzon 1 (B),Ricky Sarayno,Rulls
Oppo FTI Taguig,Standalone,For Opening,15-Apr-24,MAS8VG6,NCR South 1,Klein Justine Tamayo,MemoXpress
Oppo Glorietta 2,Glorietta,For Opening,15-Apr-24,M78DZ3R,NCR South 1,Klein Justine Tamayo,Rulls
Oppo Kiosk Pacific Lucena,Pacific Mall Lucena,For Opening,15-Apr-24,MEL9YJ2,South Luzon 3,Jan jan Dela Cruz,Rulls
Oppo Kiosk Waltermart Nasugbu,Waltermart Nasugbu,For Opening,15-Apr-24,MQC5IY3,South Luzon 3,Jan jan Dela Cruz,Rulls
Oppo Kiosk Waltermart San Pascual,Waltermart San Pascual,For Opening,15-Apr-24,MYB6ED9,South Luzon 3,Jan jan Dela Cruz,Rulls
Oppo Marquee Mall,Marque Mall,For Opening,15-Apr-24,MYIF18A,North Luzon 2,Rachelle Belmonte,Rulls
Oppo One Ayala,One Mall Ayala,For Opening,15-Apr-24,MFQCL4W,NCR South 1,Klein Justine Tamayo,Rulls
Oppo Robinsons Gen Trias,Robinsons General Trias,For Opening,15-Apr-24,MNAPG85,South Luzon 1 (B),Ricky Sarayno,Rulls
Oppo Robinsons Malolos,Robinsons Malolos,For Opening,15-Apr-24,M14N6OZ,North Luzon 1,Mari Louise Carasig,Rulls
Oppo Robinsons Metro East,Robinsons Metro East,For Opening,15-Apr-24,MTEHX0R,NCR East,Albee David,Rulls
Oppo Starmall Edsa Shaw,Starmall Edsa Shaw,For Opening,15-Apr-24,MHJQ3P8,NCR South 1,Klein Justine Tamayo,Rulls
Oppo Vistamall Taguig,Vista Mall Taguig,For Opening,15-Apr-24,M0JY2TK,NCR South 1,Klein Justine Tamayo,Rulls
Oppo Waltermart Bicutan,Waltermart Bicutan,For Opening,15-Apr-24,M7B4T8I,NCR South 2,Grace Belarmino,Rulls
Oppo Waltermart Gen Trias,Waltermart Gen Trias,For Opening,15-Apr-24,M8WN3U6,South Luzon 1 (B),Ricky Sarayno,Rulls
Oppo Waltermart Sucat,Waltermart Sucat,For Opening,15-Apr-24,MDVTB4J,NCR South 2,Grace Belarmino,Rulls
Real Me Market Mall Paco,Market Mall Paco,For Opening,15-Apr-24,MZSH1B6,NCR North,Sander Maghirang,Rulls
Realme Apalit,Savemore Apalit,For Opening,15-Apr-24,MXLK6VY,North Luzon 2,Rachelle Belmonte,Rulls
Realme Ayala District Imus,The District Imus,For Opening,15-Apr-24,MWIY2JC,South Luzon 1 (B),Ricky Sarayno,Rulls
Realme Ayala Marikina,Ayala Malls Marikina,For Opening,15-Apr-24,MS1XI4A,NCR East,Albee David,Rulls
Realme Inline Robinsons Malolos,Robinsons Malolos,For Opening,15-Apr-24,MFJWHZ9,North Luzon 1,Mari Louise Carasig,Rulls
Realme Kiosk Vista Taguig,Vista Mall Taguig,For Opening,15-Apr-24,MVDR1RL,NCR South 1,Klein Justine Tamayo,Rulls
Realme Kiosk Waltermart Nasugbu,Waltermart Nasugbu,For Opening,15-Apr-24,MXCZIE3,South Luzon 3,Jan jan Dela Cruz,Rulls
Realme Robinsons Galleria,Robinsons Galleria,For Opening,15-Apr-24,M47V5LR,NCR South 1,Klein Justine Tamayo,Rulls
Realme Robinsons Gen Trias,Robinsons General Trias,For Opening,15-Apr-24,MWR5AEK,South Luzon 1 (B),Ricky Sarayno,Rulls
Realme Robinsons Manila,Robinsons Ermita,For Opening,15-Apr-24,MHSGPCF,NCR North,Sander Maghirang,Rulls
Realme Robinsons Metro East,Robinsons Metro East,For Opening,15-Apr-24,MBLR71F,NCR East,Albee David,Rulls
Rulls Antipolo,Robinsons Antipolo,For Opening,15-Apr-24,M8U05KZ,NCR East,Albee David,Rulls
Rulls Apalit,Savemore Apalit,For Opening,15-Apr-24,MA0C1DZ,North Luzon 2,Rachelle Belmonte,Rulls
Rulls Ayala Mall Serin,Ayala Mall Serin,For Opening,15-Apr-24,MQVP6H8,South Luzon 1 (A),Aubrey Lalong Isip,Rulls
Rulls Festival Mall,Festival Supermall,For Opening,15-Apr-24,MQV6OR3,NCR South 2,Grace Belarmino,Rulls
Rulls Fishermall Quezon City,Fishermall Quezon City,For Opening,15-Apr-24,M5QZ4WU,NCR North,Sander Maghirang,Rulls
Rulls Gateway Cubao,Gateway Cubao,For Opening,15-Apr-24,M5KRUIZ,NCR North,Sander Maghirang,Rulls
Rulls Malabon,Robinsons Malabon,For Opening,15-Apr-24,M49WHVN,NCR North,Sander Maghirang,Rulls
Rulls Marquee Mall,Marque Mall,For Opening,15-Apr-24,MQKAO6D,North Luzon 2,Rachelle Belmonte,Rulls
Rulls One Ayala,One Mall Ayala,For Opening,15-Apr-24,M1OSBK0,NCR South 1,Klein Justine Tamayo,Rulls
Rulls Robinson Lipa,Robinsons Lipa,For Opening,15-Apr-24,MWLFS75,South Luzon 3,Jan jan Dela Cruz,Rulls
Rulls Robinson Novaliches,Robinsons Novaliches,For Opening,15-Apr-24,MWZPTIY,NCR North,Sander Maghirang,Rulls
Rulls Robinsons Gen Trias,Robinsons General Trias,For Opening,15-Apr-24,MXP4UMG,South Luzon 1 (B),Ricky Sarayno,Rulls
Rulls Robinsons Las Pinas,Robinsons Las Pinas,For Opening,15-Apr-24,MEATKNP,NCR South 2,Grace Belarmino,Rulls
Rulls Sta Lucia,Sta Lucia Mall,For Opening,15-Apr-24,M58WV1L,NCR East,Albee David,Rulls
Rulls Unimart Capitol,Unimart Capitol Common,For Opening,15-Apr-24,MNGI12Q,NCR East,Albee David,Rulls
Rulls Vistamall Taguig,Vista Mall Taguig,For Opening,15-Apr-24,MUWEAKF,NCR South 1,Klein Justine Tamayo,Rulls
Rulls Waltermart Baliwag,Waltermart Baliwag,For Opening,15-Apr-24,MDQS2TZ,North Luzon 1,Mari Louise Carasig,Rulls
Rulls Waltermart Cabuyao,Waltermart Cabuyao,For Opening,15-Apr-24,MX61Y2P,South Luzon 2,Kenneth Mendoza,Rulls
Rulls Waltermart Dasma,Waltermart Dasma,For Opening,15-Apr-24,MPKQCNB,South Luzon 1 (A),Aubrey Lalong Isip,Rulls
Rulls Waltermart Muntinlupa,Waltermart Muntinlupa,For Opening,15-Apr-24,MKBL30D,NCR South 2,Grace Belarmino,Rulls
Rulls Waltermart San Pascual,Waltermart San Pascual,For Opening,15-Apr-24,MOIYU5Q,South Luzon 3,Jan jan Dela Cruz,Rulls
Rulls Waltermart Tanauan,Waltermart Tanauan,For Opening,15-Apr-24,M6JP57O,South Luzon 3,Jan jan Dela Cruz,Rulls
Rulls Xentromall Lemery,Xentro Mall Lemery,For Opening,15-Apr-24,M6KFJ40,South Luzon 3,Jan jan Dela Cruz,Rulls
Samsung Ayala Mall Serin,Ayala Mall Serin,For Opening,15-Apr-24,MJGLW4X,South Luzon 1 (A),Aubrey Lalong Isip,Rulls
Samsung Kiosk Robinsons Las Pinas,Robinsons Las Pinas,For Opening,15-Apr-24,MKVYFID,NCR South 2,Grace Belarmino,Rulls
Samsung Kiosk Waltermart Gentrias,Waltermart Gen Trias,For Opening,15-Apr-24,MWPU7HC,South Luzon 1 (B),Ricky Sarayno,Rulls
Samsung Kiosk Waltermart San Pascual,Waltermart San Pascual,For Opening,15-Apr-24,MQI8SL1,South Luzon 3,Jan jan Dela Cruz,Rulls
Samsung Robinsons Gen Trias,Robinsons General Trias,For Opening,15-Apr-24,MIDVKHW,South Luzon 1 (B),Ricky Sarayno,Rulls
Samsung Starmall Edsa Shaw,Starmall Edsa Shaw,For Opening,15-Apr-24,MWBJK2N,NCR South 1,Klein Justine Tamayo,Rulls
Samsung Waltermart Balayan,Waltermart Balayan,For Opening,15-Apr-24,MYHD74L,South Luzon 3,Jan jan Dela Cruz,Rulls
Samsung Waltermart Nasugbu,Waltermart Nasugbu,For Opening,15-Apr-24,M8C4569,South Luzon 3,Jan jan Dela Cruz,Rulls
Smart Fishermall Malabon,Fishermall Malabon,For Opening,15-Apr-24,MY4XQJ0,NCR North,Sander Maghirang,Rulls
Stormtech Alimall Cubao,Alimall Cubao,For Opening,15-Apr-24,MJ81NOS,NCR North,Sander Maghirang,Rulls
Stormtech CLA Town Center Pagsanjan,CLA Town Center,For Opening,15-Apr-24,M7Y21GE,South Luzon 2,Kenneth Mendoza,Rulls
Stormtech Gateway Cubao,Gateway Cubao,For Opening,15-Apr-24,M6TCWTZ,NCR North,Sander Maghirang,Rulls
Stormtech Robinsons Malolos,Robinsons Malolos,For Opening,15-Apr-24,MIE6VOF,North Luzon 1,Mari Louise Carasig,Rulls
Techbox Antipolo,Robinsons Antipolo,For Opening,15-Apr-24,M8FWM1N,NCR East,Albee David,Rulls
Techbox Market Market,Market Market,For Opening,15-Apr-24,MC5K9HQ,NCR South 1,Klein Justine Tamayo,Rulls
Techbox Rob Malabon,Robinsons Malabon,For Opening,15-Apr-24,MESH1JC,NCR North,Sander Maghirang,Rulls
Techbox Robinsons Las Pinas/Audionet,Robinsons Las Pinas,For Opening,15-Apr-24,M80534O,NCR South 2,Grace Belarmino,Rulls
Techlife Robinsons Malolos,Robinsons Malolos,For Opening,15-Apr-24,MLDRTOA,North Luzon 1,Mari Louise Carasig,Rulls
Techno Concept Robinsons Malolos,Robinsons Malolos,For Opening,15-Apr-24,MDAJPF8,North Luzon 1,Mari Louise Carasig,Rulls
Tecno Kiosk CLA,CLA Town Center,For Opening,15-Apr-24,MF7X3WE,South Luzon 2,Kenneth Mendoza,Rulls
Tecno Kiosk Glorietta 2,Glorietta,For Opening,15-Apr-24,MO3PU8T,NCR South 1,Klein Justine Tamayo,Rulls
Tecno Kiosk Malabon,Robinsons Malabon,For Opening,15-Apr-24,MRL417Q,NCR North,Sander Maghirang,Rulls
Tecno Kiosk Robinsons Malolos,Robinsons Malolos,For Opening,15-Apr-24,ME6KDB1,North Luzon 1,Mari Louise Carasig,Rulls
Tecno Market Mall Paco,Market Mall Paco,For Opening,15-Apr-24,M3PEIJ0,NCR North,Sander Maghirang,Rulls
Tecno One Ayala,One Mall Ayala,For Opening,15-Apr-24,MPCDIQH,NCR South 1,Klein Justine Tamayo,Rulls
Tecno Vistamall Kiosk Taguig,Vista Mall Taguig,For Opening,15-Apr-24,M5YD2BC,NCR South 1,Klein Justine Tamayo,Rulls
Tehcno Robinson San Pedro,Robinsons San Pedro,For Opening,15-Apr-24,MV2O5H6,South Luzon 2,Kenneth Mendoza,Rulls
Tylex Lotus,Lotus Central Mall,For Opening,15-Apr-24,MFPNSH9,South Luzon 1 (B),Ricky Sarayno,Rulls
Vivo Apalit,Savemore Apalit,For Opening,15-Apr-24,MQULK65,North Luzon 2,Rachelle Belmonte,Rulls
Vivo Exhibit Marquee Mall,Marque Mall,For Opening,15-Apr-24,MPORV4O,North Luzon 2,Rachelle Belmonte,Rulls
Vivo Kiosk Starmall Edsa Shaw,Starmall Edsa Shaw,For Opening,15-Apr-24,M3OAX3T,NCR South 1,Klein Justine Tamayo,Rulls
Vivo Robinson Lipa,Robinsons Lipa,For Opening,15-Apr-24,MSOHG4L,South Luzon 3,Jan jan Dela Cruz,Rulls
Vivo Robinsons Galleria,Robinsons Galleria,For Opening,15-Apr-24,M5D32GD,NCR South 1,Klein Justine Tamayo,Rulls
Vivo Robinsons Malolos,Robinsons Malolos,For Opening,15-Apr-24,MB8RA5O,North Luzon 1,Mari Louise Carasig,Rulls
Vivo Robinsons Manila,Robinsons Ermita,For Opening,15-Apr-24,MD8QHXY,NCR North,Sander Maghirang,Rulls
Vivo Vistamall Taguig,Vista Mall Taguig,For Opening,15-Apr-24,M3IEQ1B,NCR South 1,Klein Justine Tamayo,Rulls
Xtreme Appliances City Mall Sorsogon,Standalone,For Opening,14-Apr-24,M5LHQTI,South Luzon 3,Jan jan Dela Cruz,Xtreme
Xtreme Appliances Gumaca,Standalone,For Opening,14-Apr-24,MCN035B,South Luzon 3,Jan jan Dela Cruz,Xtreme
Xtreme Appliances Harbor Point,Ayala Habor Point,For Opening,14-Apr-24,MNPOFIN,North Luzon 2,Rachelle Belmonte,Xtreme
Xtreme Appliances Iba Town Center,Iba Town Center,For Opening,14-Apr-24,MIA2TGC,North Luzon 2,Rachelle Belmonte,Xtreme
Xtreme Appliances Laoag,Standalone,For Opening,14-Apr-24,MCJ3BVQ,North Luzon 2,Rachelle Belmonte,Xtreme
Xtreme Appliances Lucky Gold Plaza,Lucky Gold Plaza,For Opening,14-Apr-24,MO3AHGW,NCR East,Albee David,Xtreme
Xtreme Appliances Metro Plaza,Standalone,For Opening,14-Apr-24,M8WN4DK,NCR North,Sander Maghirang,Xtreme
Xtreme appliances Robinsons Malabon,Standalone,For Opening,14-Apr-24,M6T5UNY,NCR North,Sander Maghirang,Xtreme
Xtreme Appliances San Pablo,Standalone,For Opening,15-Apr-24,M8GKOQ6,South Luzon 2,Kenneth Mendoza,Xtreme
